"ID","Name","ParentCatID","Display","ITunesXML"
"1","Science Fiction",,"1","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"2","Fantasy",,"2","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"3","Business",,"3","<itunes:category text=""Business"">
</itunes:category>"
"4","Magazine",,"4","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"5","Mystery",,"5","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"6","Humor",,"6","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"7","Fiction",,"7","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"8","Essays",,"8","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"9","Children",,"9","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"10","Young Adult",,"10","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"11","Horror/Dark Fantasy",,"11","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"12","Alternative History",,"12","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"13","Magical Realism",,"13","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"14","Religious Fiction",,"14","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"15","Life Lessons",,"15","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"16","Cyberpunk",,"16","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"17","Public Domain",,"17","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"18","Non-Fiction",,"18","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"19","History",,"19","<itunes:category text=""Society &amp; Culture"">
<itunes:category text=""History""/>
</itunes:category>"
"20","Audiodrama",,"20","<itunes:category text=""Arts"">
<itunes:category text=""Performing Arts""/>
</itunes:category>"
"21","Historical Fiction",,"21","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"22","Spirituality",,"22","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"23","Memoir",,"23","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"24","Travelogue",,"24","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"25","Poetry",,"25","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"26","Erotica",,"26","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"27","Thriller",,"27","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"28","Chick Lit",,"28","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"29","Literature",,"1","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"30","Inspirational Fiction",,"14","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"31","Romance",,"31","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"32","Historical Fantasy",,"14","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"33","Self-Help",,"30","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"34","Fabulist Satire",,"14","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
"35","Steampunk",,"16","<itunes:category text=""Arts"">
<itunes:category text=""Literature""/>
</itunes:category>"
